study_hours,attendance,sleep_hours,internet_usage,assignments_completed,previous_score,exam_score
7,79,6,8,2,61,100.0
1,63,8,2,15,35,60.19
2,96,4,10,20,62,100.0
10,63,8,6,17,68,100.0
1,72,6,2,19,62,82.22
9,91,8,1,8,78,100.0
8,97,7,1,19,66,100.0
2,85,6,10,12,89,91.79
9,43,5,10,11,85,93.33
10,56,6,7,3,47,100.0
1,72,5,10,14,49,62.99
5,63,4,10,20,91,100.0
2,89,5,11,11,59,74.26
3,91,9,3,5,86,100.0
4,55,8,4,16,87,100.0
1,81,9,1,1,69,71.56
7,61,5,10,13,67,88.68
7,90,6,9,13,37,100.0
8,80,8,10,10,69,96.12
7,50,7,11,6,51,57.61
5,43,7,5,6,79,76.35
5,55,6,3,3,61,74.97
2,45,8,6,2,88,60.24
10,72,4,11,7,79,100.0
11,59,9,5,19,88,100.0
5,93,8,10,17,61,96.78
4,93,6,2,12,45,90.83
9,51,9,3,0,62,90.42
2,93,8,1,8,72,94.39
6,75,6,8,14,88,97.38
5,65,6,9,15,69,83.41
11,90,8,2,0,56,100.0
11,58,9,2,0,76,100.0
9,93,8,9,19,54,100.0
3,96,5,10,4,46,62.28
2,58,9,3,1,66,73.76
10,49,6,7,19,51,98.48
4,69,7,3,12,74,100.0
7,80,6,6,13,91,100.0
2,61,7,9,7,68,72.44
8,49,5,3,14,49,82.11
8,80,6,9,20,92,100.0
11,62,4,11,0,36,73.28
9,71,4,2,16,73,100.0
1,99,9,6,19,57,100.0
11,65,8,1,6,59,100.0
5,76,6,4,19,68,100.0
4,53,8,6,11,38,72.11
4,89,5,7,14,47,85.92
11,91,6,8,16,58,96.73
6,54,8,7,6,46,71.11
5,66,5,9,10,71,81.54
10,86,4,5,7,81,100.0
9,46,6,10,18,94,100.0
10,56,9,10,3,70,100.0
3,40,9,6,5,75,80.5
4,78,9,1,4,52,87.53
11,78,4,8,8,39,100.0
5,44,8,10,20,88,100.0
2,42,4,4,19,57,85.44
3,78,4,6,12,39,73.55
1,59,9,9,7,62,79.93
2,42,6,7,12,84,85.44
5,84,9,3,0,53,88.82
6,79,9,1,19,77,100.0
7,81,9,8,11,40,100.0
5,71,8,3,8,49,84.17
7,43,9,4,17,65,89.29
5,49,4,9,6,81,65.18
3,58,4,9,17,92,100.0
8,91,8,1,1,93,100.0
6,64,5,3,2,42,63.57
2,100,8,4,6,46,82.09
6,40,6,6,15,72,100.0
6,62,7,1,20,87,100.0
9,87,7,6,18,84,100.0
9,65,4,10,10,67,86.94
9,86,5,1,14,48,100.0
5,54,5,6,2,42,65.52
6,92,4,9,12,41,92.18
9,65,4,6,7,61,75.18
2,51,6,2,12,36,73.79
6,97,8,10,20,61,100.0
1,86,8,3,16,39,92.26
9,56,6,9,18,69,100.0
3,75,6,6,4,87,100.0
1,40,4,1,11,90,82.98
4,83,8,4,20,42,100.0
3,73,8,2,7,57,71.6
2,55,6,2,16,47,71.2
9,92,4,6,2,90,99.38
3,88,6,3,1,43,45.37
6,41,5,3,8,66,85.06
9,47,8,8,6,42,70.13
6,80,7,10,11,92,100.0
2,62,6,3,0,87,66.65
2,58,4,8,11,78,58.52
11,51,8,9,6,48,90.36
6,73,8,10,7,35,78.55
9,72,9,1,7,43,91.39
4,40,8,4,11,65,86.22
7,59,9,6,13,89,100.0
5,40,9,10,0,46,54.22
11,80,8,2,7,88,100.0
9,79,7,8,18,61,100.0
1,49,6,2,10,83,74.14
3,100,9,7,10,73,100.0
10,43,6,4,6,35,92.27
8,63,9,10,9,41,90.07
5,80,7,5,16,82,100.0
10,87,5,7,13,72,100.0
1,92,8,8,1,55,82.34
1,76,4,11,5,49,35.1
10,58,9,3,9,38,100.0
11,42,7,9,11,61,97.46
11,96,8,10,9,58,94.61
10,79,4,3,4,79,100.0
10,84,7,1,16,62,100.0
2,55,9,10,16,48,71.78
2,54,4,9,5,82,75.9
10,75,6,9,9,94,100.0
9,56,8,11,16,45,96.35
11,78,6,7,3,67,100.0
8,82,7,11,12,41,100.0
7,45,6,10,2,57,67.8
1,52,6,10,12,79,80.17
11,43,7,11,5,85,100.0
3,81,9,2,17,75,100.0
7,56,8,1,17,93,100.0
6,70,6,8,2,54,65.8
11,72,7,6,0,59,90.76
6,63,5,7,11,64,99.42
6,56,5,9,17,91,83.95
8,82,6,11,20,74,100.0
2,40,7,11,11,45,47.95
8,53,6,10,11,82,100.0
8,65,8,2,0,64,74.06
3,44,8,6,3,58,81.78
2,60,4,3,13,39,74.35
9,85,6,4,10,93,100.0
2,88,8,8,7,72,75.91
4,95,4,5,18,41,83.27
11,59,4,7,3,56,80.57
1,96,5,7,16,77,92.25
3,63,9,7,16,61,77.52
11,68,8,11,1,88,98.69
6,62,8,10,6,62,85.75
9,67,7,5,15,66,100.0
7,49,9,10,19,57,100.0
8,95,4,10,12,73,97.14
6,55,5,8,5,57,82.68
8,83,4,7,15,35,95.65
1,69,9,3,16,42,90.04
5,82,8,1,4,61,94.15
9,64,9,7,12,77,100.0
10,72,9,4,7,40,100.0
6,95,6,11,7,63,100.0
2,52,4,4,12,73,74.95
7,98,6,9,4,87,100.0
7,59,8,6,9,68,100.0
4,48,8,3,13,57,83.52
2,99,8,9,2,60,51.43
8,46,9,7,12,50,97.62
6,52,7,4,2,70,84.82
9,45,5,1,10,61,100.0
4,88,5,6,8,56,85.39
4,69,7,4,18,78,100.0
1,50,5,2,3,64,58.2
8,82,8,8,17,62,100.0
9,59,9,11,14,83,100.0
9,60,7,8,15,88,100.0
1,84,4,4,14,36,73.14
8,56,9,2,19,72,100.0
1,62,8,1,3,72,70.33
3,48,8,8,3,60,49.89
8,94,4,11,8,42,80.88
9,65,4,11,11,72,100.0
5,82,5,1,0,55,89.93
3,88,4,1,17,55,89.86
10,87,9,1,10,94,100.0
10,59,4,1,10,76,100.0
11,42,8,4,20,95,100.0
6,99,9,7,3,44,81.15
6,50,4,1,8,48,90.82
7,84,4,4,7,91,100.0
11,94,5,6,19,56,100.0
8,62,5,11,15,50,78.93
2,40,7,9,2,85,67.29
8,92,6,7,7,41,86.67
3,42,8,9,19,70,93.24
10,53,5,8,13,56,93.54
7,46,8,6,6,85,100.0
1,49,4,11,13,89,77.06
1,71,9,4,2,80,75.87
4,40,6,11,2,65,79.05
3,78,4,9,15,38,66.88
1,42,9,7,0,94,68.26
3,42,6,11,16,73,84.2
11,90,6,6,10,75,100.0
11,59,8,9,3,91,99.67
5,60,6,5,2,58,61.29
9,42,5,5,15,56,98.77
3,46,6,4,12,37,52.71
5,40,5,2,15,56,81.13
1,83,7,2,6,94,94.84
9,42,4,10,14,63,89.58
3,92,5,3,7,71,76.13
7,62,8,9,14,46,83.05
11,50,7,7,20,76,100.0
10,45,5,5,7,73,100.0
1,74,5,5,7,63,49.52
11,87,8,1,2,53,100.0
7,79,8,6,11,77,97.06
7,75,6,10,14,72,100.0
9,68,9,2,17,52,100.0
1,97,4,4,18,92,91.0
9,77,5,11,3,41,72.82
10,63,5,1,8,48,100.0
3,87,8,6,3,49,67.81
3,99,9,2,9,35,77.68
7,87,7,9,12,95,100.0
3,53,9,3,4,58,66.7
10,87,8,10,18,47,100.0
5,41,9,10,0,83,80.6
1,66,7,4,9,64,86.43
11,83,8,3,11,67,100.0
9,74,7,7,0,51,86.23
10,64,5,1,8,41,98.07
6,79,6,9,2,77,93.36
10,72,6,10,16,82,100.0
5,67,8,9,1,90,83.66
7,93,7,3,17,38,97.06
5,78,9,7,16,83,100.0
9,75,4,1,17,46,88.56
4,59,9,4,17,53,94.52
9,80,4,9,12,91,100.0
8,55,8,6,11,90,100.0
3,61,5,3,1,52,52.34
3,69,7,5,14,38,80.43
8,69,8,2,0,50,67.25
1,64,4,7,12,78,80.7
1,100,7,7,13,66,83.93
9,74,6,7,0,54,63.62
2,97,9,9,18,42,98.97
5,97,5,9,20,35,95.6
3,67,7,10,18,85,100.0
7,55,6,6,10,43,65.66
4,43,4,4,3,47,56.74
5,79,9,10,2,42,74.15
3,61,6,5,18,62,95.73
6,43,9,3,0,90,74.68
10,65,4,9,7,59,86.73
9,78,9,7,16,50,100.0
1,99,9,3,9,61,82.03
7,61,6,2,6,74,100.0
6,40,7,3,5,37,71.83
10,71,8,10,13,63,100.0
7,68,5,6,11,56,78.51
7,77,7,3,18,53,100.0
5,47,6,9,14,51,74.08
10,82,8,11,3,75,100.0
2,52,9,8,5,55,79.06
11,63,9,2,15,73,100.0
8,92,5,5,18,45,100.0
8,86,7,4,19,88,100.0
8,87,6,4,17,36,100.0
9,74,9,9,7,73,100.0
9,47,7,9,14,65,100.0
10,62,4,6,16,64,100.0
7,82,9,9,17,90,100.0
1,44,6,1,3,91,85.43
9,95,5,10,3,82,100.0
1,80,6,4,15,86,75.37
4,65,6,8,5,46,63.24
3,57,9,1,1,59,59.99
1,40,8,7,16,57,72.1
9,58,8,4,5,63,91.21
11,48,6,7,2,73,100.0
1,82,4,7,7,47,51.83
8,41,6,10,8,84,69.83
4,51,4,9,14,90,100.0
4,52,6,3,3,51,64.17
8,50,9,8,17,35,100.0
1,64,6,4,10,44,63.22
6,66,9,9,9,45,85.4
7,74,7,8,0,95,100.0
7,69,9,6,6,78,100.0
11,84,5,11,2,83,100.0
1,66,9,8,15,92,95.91
7,68,7,11,6,72,79.02
9,93,8,11,6,75,99.36
11,89,7,10,13,89,100.0
8,77,4,5,3,94,99.95
1,97,7,10,19,39,79.76
2,95,6,7,15,42,66.45
6,83,9,4,14,92,100.0
1,56,7,3,7,83,75.82
4,98,6,10,4,40,51.29
10,40,5,2,2,65,100.0
2,61,6,1,6,69,63.71
8,50,8,2,1,52,88.7
9,96,5,2,5,51,100.0
5,47,5,3,3,93,71.29
6,49,5,3,2,55,49.46
1,88,7,11,1,68,73.84
6,48,9,4,12,61,100.0
8,48,6,7,13,44,89.02
7,97,7,1,4,65,97.1
6,93,5,2,5,41,82.49
7,53,7,9,8,67,77.08
9,49,8,6,15,74,100.0
2,45,4,10,0,47,48.28
2,68,5,4,3,49,68.65
10,72,9,5,8,74,100.0
11,75,7,2,1,69,100.0
10,71,8,6,1,87,88.54
8,74,7,11,10,62,89.8
2,99,9,5,3,92,83.91
2,69,8,6,15,58,79.95
7,95,9,10,17,85,100.0
6,80,5,8,4,73,92.17
9,74,6,10,0,61,74.68
10,57,4,7,7,68,91.36
7,57,6,7,3,70,80.82
1,74,9,8,12,71,74.79
6,59,4,7,18,45,87.83
9,57,4,7,0,80,78.02
7,54,6,11,13,51,98.29
6,92,7,1,7,77,98.62
9,50,5,1,8,81,100.0
8,48,5,3,19,84,100.0
3,61,7,1,18,49,93.05
2,98,5,7,6,36,42.92
4,52,7,4,2,87,82.8
3,57,5,3,13,62,91.28
7,63,9,6,9,67,100.0
10,61,5,8,3,72,82.33
11,69,4,8,7,53,84.32
2,81,5,7,10,50,70.52
6,69,4,1,7,63,99.53
11,58,5,10,5,82,98.36
9,66,5,9,6,72,84.85
11,100,9,4,6,43,100.0
11,93,4,7,11,40,99.39
5,91,6,10,17,72,98.7
10,49,7,2,18,45,97.46
7,88,5,5,13,37,100.0
8,90,6,9,15,94,100.0
1,57,9,10,18,57,83.25
7,95,5,11,11,95,100.0
6,48,8,3,15,75,100.0
9,72,6,3,1,67,87.49
1,77,9,5,8,71,77.49
4,86,6,10,17,42,71.06
3,68,8,7,15,76,80.69
4,97,6,11,6,90,84.75
5,91,7,9,1,36,78.99
6,92,6,4,5,70,98.32
11,83,5,5,6,70,100.0
10,100,9,4,4,75,100.0
11,50,8,6,13,68,100.0
8,87,8,8,2,63,88.32
9,82,4,6,1,88,94.61
5,71,6,5,20,55,90.9
3,74,7,7,7,44,56.49
10,62,7,3,9,94,100.0
7,91,6,5,6,57,85.31
11,90,6,11,18,72,100.0
4,48,9,11,19,85,69.69
10,61,7,4,19,90,100.0
9,74,7,1,17,39,96.97
1,68,4,4,10,61,61.65
1,56,6,1,5,53,56.24
7,54,7,5,0,45,77.86
11,60,7,4,5,89,100.0
11,95,6,9,14,51,100.0
11,100,9,6,5,89,100.0
7,56,7,5,7,91,100.0
4,56,5,9,3,58,82.7
6,49,5,11,4,71,100.0
5,71,4,4,11,52,80.61
11,75,7,1,3,75,100.0
9,90,8,9,6,68,98.28
2,90,9,6,10,72,90.08
4,44,8,5,18,87,91.29
10,40,4,3,1,37,60.13
5,43,9,1,14,92,80.27
9,92,5,7,18,90,100.0
10,85,7,11,9,63,100.0
9,82,8,11,20,58,100.0
8,47,4,9,0,58,74.21
8,56,4,4,18,87,89.96
8,63,5,8,2,72,100.0
4,97,9,9,19,72,100.0
4,84,9,5,15,58,100.0
1,72,4,1,18,41,75.16
8,96,6,10,14,89,100.0
10,50,7,11,12,77,100.0
9,91,8,9,20,82,100.0
3,43,6,3,9,69,51.29
10,50,7,1,7,49,90.88
11,55,9,3,16,90,100.0
9,44,9,8,4,37,81.28
7,67,6,7,11,61,75.09
11,86,9,10,8,52,100.0
2,86,9,6,18,74,100.0
2,46,8,3,13,62,77.3
6,67,4,2,12,95,100.0
10,70,6,7,0,78,93.78
5,60,6,6,8,92,85.91
6,95,6,10,2,57,80.5
2,41,5,7,16,41,67.53
4,96,9,11,7,51,92.43
5,48,5,7,10,42,60.17
10,66,9,7,13,35,91.35
7,62,8,5,4,65,76.28
4,76,5,9,18,66,92.8
7,41,4,11,3,51,79.85
5,95,6,8,17,58,100.0
3,51,8,2,15,67,83.79
4,66,5,7,6,61,76.42
6,83,9,11,0,41,75.49
8,66,6,4,20,73,100.0
5,43,4,8,3,66,58.22
9,53,9,4,13,95,97.6
8,56,5,8,4,57,84.1
7,46,7,5,9,89,100.0
2,42,4,3,17,64,76.44
7,73,4,11,3,88,83.6
2,48,7,3,9,47,70.33
6,85,5,4,13,43,79.04
9,77,7,10,16,57,100.0
7,47,4,2,7,59,82.53
11,82,8,6,19,71,100.0
5,97,9,8,16,81,100.0
2,86,4,9,8,69,79.14
11,65,7,3,16,75,100.0
6,64,6,11,19,82,87.35
4,87,5,4,18,62,81.53
10,82,6,5,5,52,93.41
1,91,5,5,10,68,62.84
11,42,9,3,11,47,100.0
4,51,7,2,20,90,100.0
10,67,6,1,13,72,100.0
7,58,8,7,18,56,100.0
11,67,4,3,10,37,82.79
3,99,8,11,13,85,100.0
4,63,8,11,18,72,79.38
11,90,7,3,2,93,100.0
8,64,6,9,9,48,80.28
2,45,8,8,16,40,69.23
6,87,9,8,10,92,100.0
7,58,9,4,19,81,100.0
10,62,8,11,8,47,93.95
6,54,9,11,8,93,94.11
5,45,5,9,8,43,60.83
8,90,6,10,14,85,92.65
7,77,7,4,7,58,77.94
4,74,5,7,14,61,86.01
10,90,5,10,20,63,100.0
8,81,4,2,8,68,71.05
10,43,8,5,7,43,85.5
4,66,4,9,14,79,100.0
9,61,7,8,6,42,100.0
6,61,5,8,6,81,81.23
1,51,7,8,19,40,58.28
3,51,6,6,8,48,55.73
2,79,4,8,5,60,51.89
3,88,6,6,5,90,76.26
8,83,4,6,13,56,100.0
10,88,5,8,16,69,100.0
3,98,5,6,8,86,99.0
11,81,8,3,9,76,100.0
5,80,4,6,15,71,82.71
6,66,4,8,11,69,100.0
6,98,6,8,8,52,94.64
11,47,6,1,10,76,100.0
6,94,9,2,14,94,100.0
3,82,8,4,19,68,100.0
5,70,6,7,19,86,100.0
6,73,5,9,6,35,89.44
11,70,8,8,4,94,100.0
7,57,6,9,1,68,65.04
11,56,4,7,0,86,100.0
7,61,4,7,17,85,100.0
7,74,5,8,10,43,87.42
8,69,7,11,6,43,80.85
11,51,6,7,16,56,100.0
7,60,6,7,5,52,81.8
6,40,9,2,9,51,95.6
2,71,7,8,12,94,100.0
4,73,9,11,0,74,72.61
10,42,9,8,15,57,100.0
2,71,7,9,3,77,79.3
1,58,4,9,13,70,64.2
5,54,9,5,15,50,92.92
9,93,7,7,15,62,100.0
4,40,5,6,16,91,100.0
2,70,6,4,7,36,65.21
7,65,7,5,14,38,96.26
4,77,5,9,1,35,52.78
7,51,8,10,8,90,81.95
8,92,7,8,20,92,100.0
7,49,9,7,5,57,100.0
10,44,8,3,3,77,100.0
2,54,5,1,17,35,62.95
4,97,7,6,3,82,100.0
8,52,9,5,1,86,100.0
8,55,8,1,0,56,88.99
8,57,5,5,1,37,83.95
1,73,9,9,14,58,73.99
5,65,8,2,15,89,100.0
2,94,4,7,7,81,91.78
2,46,7,2,5,69,63.56
3,92,7,7,2,61,72.12
4,69,8,8,6,45,62.9
11,74,5,10,20,90,100.0
3,41,8,4,17,90,81.12
5,46,4,11,11,74,88.51
9,62,9,1,17,65,100.0
6,95,6,7,8,56,86.82
10,55,4,8,2,95,100.0
7,71,4,4,6,55,75.06
1,73,7,9,13,79,80.82
1,67,4,7,0,60,52.84
3,45,9,11,2,93,57.19
6,40,4,8,18,95,97.04
3,65,6,9,13,35,72.05
9,93,9,9,16,47,100.0
2,77,8,4,16,74,100.0
7,52,9,2,12,44,100.0
9,70,8,5,16,43,100.0
6,64,8,11,10,54,82.51
9,43,9,1,4,41,67.55
3,41,6,2,4,70,52.11
10,61,4,8,15,57,100.0
6,54,8,8,11,38,64.33
9,47,4,9,11,76,74.76
5,52,4,1,19,53,87.46
1,95,4,9,13,67,71.19
9,78,5,2,12,84,100.0
9,96,9,11,16,86,100.0
1,58,9,9,1,94,55.35
2,60,8,2,18,48,83.06
9,97,9,11,17,48,100.0
5,54,4,2,16,55,96.75
10,69,7,1,12,71,100.0
1,92,6,3,1,92,94.2
5,80,9,9,9,61,76.76
3,48,4,8,11,43,56.58
10,92,5,7,6,38,91.07
2,92,6,5,16,88,86.46
11,62,9,7,13,70,100.0
2,87,4,4,10,47,81.47
2,60,9,10,16,61,87.72
6,75,7,6,17,88,100.0
9,73,8,4,15,51,96.94
3,70,6,2,2,76,81.66
2,50,6,7,17,95,81.18
9,56,4,1,2,80,87.07
1,69,7,10,16,58,63.95
11,87,8,11,6,65,100.0
5,56,7,6,14,40,73.19
10,54,4,2,17,67,100.0
5,78,4,7,10,51,87.22
10,76,9,4,0,63,89.99
5,73,9,10,11,55,82.93
2,75,7,7,5,63,67.5
4,83,5,3,18,50,70.48
3,94,4,7,10,59,80.42
6,68,6,6,7,79,87.0
6,76,8,3,17,38,100.0
7,82,7,4,12,38,96.71
11,68,5,8,19,47,100.0
10,62,6,5,0,64,82.58
8,58,8,4,10,62,93.5
2,91,4,4,2,82,72.73
11,42,5,6,3,58,80.77
11,72,6,4,13,51,100.0
7,65,5,1,5,75,100.0
8,91,9,5,4,95,100.0
11,70,5,5,11,71,100.0
7,58,8,1,4,81,100.0
2,42,9,3,13,47,83.81
2,43,8,7,4,69,62.88
8,66,9,8,1,69,84.4
8,66,7,4,12,71,100.0
6,79,4,3,14,93,100.0
2,44,9,6,6,51,64.57
1,63,6,10,10,84,76.78
1,76,4,1,9,86,78.75
5,68,4,1,7,51,72.17
7,65,6,4,3,66,97.87
11,72,9,8,19,95,100.0
2,63,9,6,11,41,71.29
3,59,5,6,16,39,85.34
2,71,4,11,20,95,74.49
10,65,7,10,11,51,86.87
10,71,9,4,10,49,100.0
3,68,9,1,9,94,100.0
10,69,7,3,2,66,100.0
7,75,5,10,13,49,100.0
8,91,7,8,10,55,98.56
2,96,5,11,7,77,76.76
9,49,9,7,20,53,100.0
7,93,6,1,3,35,80.18
9,54,7,1,4,52,97.27
2,56,7,6,5,39,60.46
7,80,7,7,6,75,96.59
3,98,6,8,12,63,75.65
1,72,7,6,8,60,70.1
5,55,8,4,1,61,88.06
2,75,6,9,15,54,65.43
9,51,8,7,16,48,100.0
6,67,7,3,9,84,100.0
10,52,4,5,10,92,100.0
8,42,6,6,19,66,82.22
10,73,6,10,15,60,100.0
4,47,5,7,20,81,90.33
1,94,4,10,13,58,62.87
8,66,5,1,18,57,91.18
9,60,4,6,11,87,100.0
8,70,9,2,11,43,92.76
6,74,5,6,9,76,87.86
11,46,4,1,0,57,92.89
1,79,8,10,11,38,69.33
4,47,7,6,6,78,92.4
6,72,4,7,19,63,97.63
3,53,6,11,18,37,66.75
7,70,5,10,20,76,100.0
5,40,7,9,2,36,55.33
6,66,6,4,1,37,65.15
5,58,9,10,7,67,81.06
6,60,8,3,12,91,100.0
1,92,9,4,20,58,89.01
1,81,5,11,6,37,46.59
10,68,7,9,15,62,100.0
2,60,4,6,13,93,68.67
3,82,9,6,3,52,62.93
4,50,5,10,2,67,50.3
6,71,8,3,9,43,100.0
6,99,8,5,20,87,100.0
10,76,5,5,15,42,100.0
7,46,9,7,18,73,97.18
9,95,6,2,5,79,100.0
11,58,4,5,9,36,77.82
5,69,6,4,7,51,81.98
2,90,8,3,18,60,92.38
5,59,8,2,18,47,94.04
3,48,7,5,6,86,60.19
7,63,5,9,17,41,84.37
2,75,7,5,10,95,81.1
4,58,8,7,20,44,80.92
2,69,6,8,4,48,55.5
4,92,6,8,16,93,100.0
3,80,4,1,14,42,96.63
2,95,7,3,2,74,76.02
1,62,4,7,4,94,58.18
4,56,6,4,7,70,68.62
11,71,6,3,5,62,100.0
10,55,9,3,2,62,89.47
9,43,6,11,11,94,100.0
9,66,5,9,16,60,94.02
9,41,7,4,11,82,95.26
8,82,5,5,5,76,100.0
7,54,8,6,16,46,100.0
4,55,6,2,5,74,65.77
5,41,8,6,8,92,72.06
4,60,7,10,10,68,74.8
4,81,6,4,3,40,67.08
7,92,4,3,20,55,100.0
2,75,4,9,8,94,76.02
7,49,5,8,13,56,96.79
6,90,6,4,3,70,92.34
5,64,8,10,8,56,65.38
6,65,6,5,7,67,78.82
7,82,7,9,12,74,84.0
8,99,9,9,10,42,94.81
9,73,7,10,10,71,95.07
1,97,8,1,12,73,80.46
7,80,9,11,14,68,100.0
1,60,7,4,5,72,90.77
5,93,6,1,14,87,100.0
8,58,8,8,13,68,100.0
1,45,7,8,19,91,100.0
10,93,4,8,4,95,100.0
9,72,4,7,19,95,100.0
6,49,9,1,16,92,100.0
7,63,9,11,12,54,100.0
1,75,5,7,6,44,54.5
10,76,9,7,4,95,100.0
4,63,9,5,11,79,91.29
5,41,8,9,1,53,63.48
9,50,8,5,10,35,100.0
6,96,7,6,12,63,100.0
4,95,5,1,14,64,79.83
9,88,6,8,0,82,95.38
8,45,8,3,3,89,100.0
4,44,5,6,6,40,48.18
1,73,9,11,4,68,60.98
2,43,7,4,15,78,99.89
10,60,9,5,9,66,100.0
4,42,7,10,4,62,42.78
9,62,5,9,16,53,95.15
6,61,4,5,8,36,78.63
1,82,4,8,7,78,74.82
9,82,7,11,7,76,100.0
5,58,9,4,1,88,93.63
7,41,4,9,15,84,100.0
5,51,5,8,14,48,68.61
7,66,9,7,13,90,100.0
4,46,6,9,13,59,76.31
1,94,9,7,16,42,86.31
10,74,9,6,13,54,100.0
11,99,5,8,16,52,100.0
2,92,7,10,10,59,61.78
1,69,8,10,3,38,40.46
5,55,7,11,5,66,66.39
7,89,7,10,16,95,100.0
7,60,7,8,0,86,80.01
2,71,5,7,13,41,75.75
11,92,7,1,8,78,100.0
7,58,4,7,7,75,90.51
5,72,5,4,7,45,55.87
8,75,6,11,0,75,82.29
9,100,8,1,13,37,100.0
8,78,5,2,11,72,100.0
8,86,9,3,11,41,97.76
4,56,8,2,14,90,100.0
8,49,5,9,20,39,87.79
10,41,4,4,18,51,100.0
6,86,9,3,6,38,97.53
7,80,4,9,3,37,72.51
9,92,5,3,14,70,100.0
3,71,5,1,16,70,92.03
5,92,9,7,4,50,81.14
6,96,7,5,19,94,100.0
11,40,7,7,0,95,95.6
7,50,8,4,20,69,100.0
7,40,6,9,9,37,80.91
5,90,4,2,11,76,88.52
1,73,7,9,15,78,87.26
8,61,9,11,17,76,100.0
9,81,5,4,5,65,93.38
11,56,5,9,11,82,100.0
8,53,7,9,2,66,90.51
11,71,8,4,10,53,100.0
8,95,8,2,8,92,100.0
5,76,4,6,12,39,85.75
10,67,8,6,0,84,100.0
11,69,9,4,0,95,100.0
2,76,5,10,11,72,74.4
4,65,4,6,17,40,60.14
8,72,4,4,7,40,88.06
10,41,4,7,15,87,100.0
2,93,7,8,9,78,87.38
3,41,6,11,10,71,73.46
10,100,5,9,14,92,100.0
2,76,9,2,17,78,100.0
8,52,5,10,15,80,91.64
6,47,6,10,19,51,78.37
4,89,7,2,12,58,90.2
6,88,6,5,20,62,100.0
1,55,7,11,13,76,61.92
9,74,7,9,15,41,100.0
11,53,6,1,12,64,100.0
5,62,9,3,13,45,85.7
9,77,9,8,15,64,100.0
6,56,5,4,0,46,54.49
7,96,4,8,17,76,100.0
3,47,5,4,7,48,49.59
6,64,5,1,15,85,100.0
9,52,6,3,6,50,71.7
8,97,5,8,6,55,79.5
11,90,7,3,10,87,100.0
10,81,4,3,17,69,100.0
7,78,9,7,15,73,100.0
10,76,7,8,18,67,100.0
8,86,6,10,20,80,100.0
6,100,5,4,10,89,100.0
3,72,8,9,19,91,100.0
6,100,4,5,7,90,100.0
9,47,9,11,10,89,100.0
7,46,4,9,6,60,68.9
6,98,4,8,15,62,100.0
11,46,6,9,0,74,89.66
5,89,6,6,3,66,88.91
5,87,5,1,8,93,100.0
1,50,6,3,2,93,56.69
5,53,7,10,15,86,99.1
2,65,6,1,0,40,50.23
7,40,7,5,8,81,99.32
7,98,9,3,4,88,100.0
2,89,9,6,17,65,94.36
4,84,4,8,17,93,100.0
5,86,4,5,9,71,86.61
11,53,6,11,14,90,100.0
10,53,9,4,15,54,100.0
3,96,9,7,5,48,74.42
1,89,5,2,5,55,84.3
10,68,6,10,0,82,100.0
9,45,9,8,0,76,93.85
2,56,5,11,2,88,50.75
8,84,4,5,9,70,100.0
5,43,6,10,8,64,65.32
4,50,8,2,3,58,85.43
3,67,7,2,2,43,79.27
2,74,9,3,8,81,99.91
3,78,4,2,3,61,78.58
11,49,9,11,10,47,100.0
8,79,4,9,7,59,73.85
4,42,7,11,10,79,70.72
6,52,8,6,5,78,75.39
6,64,4,4,12,62,83.51
6,45,5,3,14,40,71.22
11,65,4,2,14,36,100.0
3,91,7,7,1,68,64.0
4,89,4,8,10,40,55.37
1,68,8,2,20,49,100.0
9,93,4,7,14,52,100.0
9,41,6,4,11,49,88.43
3,93,8,10,18,85,100.0
6,47,5,5,19,48,79.75
3,99,5,1,3,38,76.97
2,70,6,5,5,58,72.57
8,87,7,8,15,69,100.0
9,69,7,9,1,51,95.36
3,69,4,2,15,50,71.64
5,42,8,4,4,86,88.91
2,93,4,8,18,57,100.0
10,47,9,2,4,44,89.67
6,93,7,10,12,37,82.57
2,61,9,6,6,49,51.43
4,81,7,11,8,52,75.65
4,61,4,11,5,91,72.52
9,99,9,6,17,38,100.0
3,46,6,1,13,46,64.44
11,87,4,3,13,54,100.0
11,52,8,2,5,37,83.35
11,51,8,11,16,54,100.0
10,72,8,10,2,89,100.0
2,80,6,5,1,87,89.29
5,55,5,6,1,69,69.19
10,58,7,11,3,54,77.46
3,66,4,1,15,74,86.39
8,71,6,7,12,87,100.0
5,53,8,1,16,37,95.82
4,65,9,9,0,65,65.02
7,66,8,10,14,56,97.19
3,55,5,1,17,61,90.06
7,74,4,1,4,89,87.21
10,50,4,9,13,52,94.44
6,95,6,1,15,81,100.0
4,80,4,1,6,72,88.77
6,94,9,2,3,46,93.58
1,86,6,2,20,75,78.4
1,65,6,6,5,91,56.85
7,99,4,6,3,86,100.0
1,82,5,8,5,80,64.94
5,78,8,6,1,60,82.95
9,59,9,5,9,59,100.0
2,73,8,7,18,43,76.16
6,82,8,1,7,91,100.0
1,46,8,1,18,41,78.39
11,49,4,2,18,54,100.0
11,45,5,5,19,70,100.0
5,80,6,2,4,66,71.04
3,96,6,5,20,77,88.43
6,93,9,4,17,88,100.0
5,43,7,11,15,59,76.28
11,97,9,5,11,89,100.0
7,58,4,4,6,52,88.65
